CODE_UIC;LIBELLE;FRET;VOYAGEURS;CODE_LIGNE;RG_TRONCON;PK;COMMUNE;DEPARTEMENT;IDRESEAU;IDGAIA;X_L93;Y_L93;X_WGS84;Y_WGS84;C_GEO
87192039;Metz-Ville;O;O;180000;1;154+320;METZ;MOSELLE;5484;293fac44-dfbc-11e3-a2ff-01a464e0362d;932169.6546000019;6894763.672200002;6.180568549134685;49.110600468125604;49.1106004681,6.18056854913
87478016;St-Germain-sur-Ille;N;O;441000;1;393+661;MELESSE;ILLE-ET-VILAINE;6483;d9984060-6667-11e3-89ff-01f464e0362d;354246.3706;6803786.057999998;-1.660059294471417;48.24256859137305;48.2425685914,-1.66005929447
87574004;Blois-Chambord;O;O;559000;1;066+906;BLOIS;LOIR-ET-CHER;3258;e1ab3328-19bf-11e5-a6ff-01fc64e0362d;574052.6765000001;6722843.368000001;1.323949851487618;47.59393832757764;47.5939383276,1.32394985149
87613802;Cordes-Vindrac;O;O;718000;1;319+389;VINDRAC-ALAYRAC;TARN;3812;c054f088-f312-11e3-90ff-015864e0362d;611854.2861000001;6330481.7201000005;1.899666539591939;44.067810392959096;44.067810393,1.89966653959
87393058;Champ-de-Mars-Tour-Eiffel;N;O;977000;1;002+100;PARIS;PARIS;3600;e1a98746-19bf-11e5-a6ff-01fc64e0362d;647891.7597000003;6862070.398499999;2.289815361730897;48.85656203720058;48.8565620372,2.28981536173
87191387;Anzeling;N;O;174000;1;029+620;ANZELING;MOSELLE;2908;29bac0c8-dfbc-11e3-a2ff-01a464e0362d;951784.7973000035;6912490.342;6.459586407658986;49.2624167581957;49.2624167582,6.45958640766
87276691;Compiègne;O;O;248000;1;083+559;MARGNY-LÈS-COMPIÈGNE;OISE;3787;e172a068-19bf-11e5-a6ff-01fc64e0362d;687906.996299997;6925400.950300001;2.833358321962656;49.42794263984308;49.4279426398,2.83335832196
87611301;St-Agne;N;O;648000;1;003+857;TOULOUSE;HAUTE-GARONNE;6354;d98aa09c-6667-11e3-89ff-01f464e0362d;572954.3203999996;6275758.853399999;1.427782850142415;43.5695091620044;43.569509162,1.42778285014
87571539;St-Antoine-du-Rocher;N;O;561000;1;255+765;SAINT-ANTOINE-DU-ROCHER;INDRE-ET-LOIRE;6372;d9aa5e5c-6667-11e3-89ff-01f464e0362d;520605.70809999853;6714209.956599999;0.616536750634198;47.503885064078;47.5038850641,0.616536750634
87313452;Guillaucourt;O;N;261000;1;024+966;GUILLAUCOURT;SOMME;4386;295aa3f2-dfbc-11e3-a2ff-01a464e0362d;673714.0283999965;6971861.534499999;2.634820287609758;49.8450059798228;49.8450059798,2.63482028761
87543017;Les Aubrais-Orléans;O;O;569000;1;118+928;FLEURY-LES-AUBRAIS;LOIRET;5049;c0872586-f312-11e3-90ff-015864e0362d;618323.127700001;6759068.1061;1.906309357024866;47.92691445647961;47.9269144565,1.90630935702
87276881;Attichy;O;N;317000;1;079+695;COULOISY;OISE;2965;297c5ce4-dfbc-11e3-a2ff-01a464e0362d;703256.936800003;6922350.758699998;3.044856797075439;49.4006331415976;49.4006331416,3.04485679708
87381269;Sérifontaine;N;O;330000;2;076+692;SÉRIFONTAINE;OISE;6825;295aac14-dfbc-11e3-a2ff-01a464e0362d;610180.203900002;6918231.338399999;1.763928393006749;49.357294436674024;49.3572944367,1.76392839301
87444711;Alençon;O;O;430000;1;055+969;ALENCON;ORNE;2842;29727de6-dfbc-11e3-a2ff-01a464e0362d;485475.5301999971;6818792.076000001;0.09914640233992801;48.43394020457713;48.4339402046,0.0991464023399
87673277;St-Vincent-de-Tyrosse;N;O;655000;1;171+936;SAINT-VINCENT-DE-TYROSSE;LANDES;6697;e19f8f6a-19bf-11e5-a6ff-01fc64e0362d;352695.8677000031;6293762.336199999;-1.3064199257319271;43.65764559327288;43.6576455933,-1.30641992573
87672774;Bedous;N;O;664000;1;275+200;BEDOUS;PYRENEES-ATLANTIQUES;3153;d9ea9558-6667-11e3-89ff-01f464e0362d;405949.80349999666;6217422.1987;-0.6039329129455381;42.99574557829729;42.9957455783,-0.603932912946
87540179;Dourdan-la-Forêt;N;O;550000;1;056+550;DOURDAN;ESSONNE;8111;e037698a-19bf-11e5-82ff-01fc64e0362d;625922.9530000016;6826620.180799998;1.9965689300395901;48.535580626314264;48.5355806263,1.99656893004
87712679;Chaugey;N;O;860000;1;346+579;LOSNE;COTE-D'OR;3667;c1117a0e-f312-11e3-90ff-015864e0362d;871051.121100001;6667708.204399999;5.255037292221724;47.08764413683483;47.0876441368,5.25503729222
87393272;Coignières;N;O;420000;1;034+319;COIGNIÈRES;YVELINES;3765;d9b0b5ec-6667-11e3-89ff-01f464e0362d;620703.5137000009;6849839.123199999;1.921580814767205;48.74379554346642;48.7437955435,1.92158081477
87545145;Étréchy;N;O;570000;1;048+690;ÉTRÉCHY;ESSONNE;4099;e19af190-19bf-11e5-a6ff-01fc64e0362d;640419.1780999973;6821639.772;2.193605157892539;48.492275105306405;48.4922751053,2.19360515789
87576157;Loreux;N;O;600000;1;197+348;LOREUX;LOIR-ET-CHER;5231;d9e6afe2-6667-11e3-89ff-01f464e0362d;612068.507100001;6699522.519900002;1.834338665664359;47.39020300817494;47.3902030082,1.83433866566
87672766;Sarrance;N;O;664000;1;268+780;SARRANCE;PYRENEES-ATLANTIQUES;6761;e54140d6-6667-11e3-a7ff-01f464e0362d;406566.4167999998;6223401.915199999;-0.5997248045916801;43.049721862419595;43.0497218624,-0.599724804592
87713115;Les Laumes-Alésia;O;O;830000;1;256+780;VENAREY-LES-LAUMES;COTE-D'OR;5092;d97c48bc-6667-11e3-89ff-01f464e0362d;809953.2765000015;6716907.661499999;4.461798665909546;47.54338010556078;47.5433801056,4.46179866591
87757732;Ranguin;N;O;944000;1;005+647;MOUGINS;ALPES-MARITIMES;9437;d9e2bba2-6667-11e3-89ff-01f464e0362d;1020640.1539999992;6282510.8499;6.969371713045707;43.569113232130306;43.5691132321,6.96937171305
87671016;Mont-de-Marsan;O;O;642000;1;176+600;MONT-DE-MARSAN;LANDES;5559;d9991cf8-6667-11e3-89ff-01f464e0362d;418755.7978999987;6315793.605500001;-0.500602680165822;43.885032882337605;43.8850328823,-0.500602680166
87191130;Uckange;O;O;180000;2;181+881;UCKANGE;MOSELLE;7052;c02afaa4-f312-11e3-90ff-015864e0362d;929533.9403000027;6916125.244399998;6.156190363131994;49.30344104441216;49.3034410444,6.15619036313
87212167;Hochfelden;O;O;070000;1;474+548;HOCHFELDEN;BAS-RHIN;4453;298e8e62-dfbc-11e3-a2ff-01a464e0362d;1035942.1111999974;6860287.463799998;7.572162441093835;48.755137916528135;48.7551379165,7.57216244109
87215012;Sarrebourg;O;O;070000;1;431+825;SARREBOURG;MOSELLE;6763;29a19efe-dfbc-11e3-a2ff-01a464e0362d;997872.0437999964;6856377.835700002;7.052269447443495;48.738716525799795;48.7387165258,7.05226944744
87342287;Thiennes;N;O;301000;1;253+225;THIENNES;NORD;6970;2999a3ea-dfbc-11e3-a2ff-01a464e0362d;662628.0108999982;7061791.6151;2.472464194753022;50.65191956984205;50.6519195698,2.47246419475
87595892;Villefranche-du-Périgord;N;O;631000;1;588+529;LOUBEJAC;DORDOGNE;7229;28f93bde-dfbc-11e3-a2ff-01a464e0362d;545267.076700002;6393895.492800001;1.049159954618569;44.62695178117865;44.6269517812,1.04915995462
87597708;Busseau-sur-Creuse;N;O;712000;1;388+624;CRESSAT;CREUSE;3442;c0e927d2-f312-11e3-90ff-015864e0362d;625170.6269000024;6558685.1248;2.030919125050327;46.123836220898106;46.1238362209,2.03091912505
87575001;Poitiers;O;O;574000;1;005+768;CHASSENEUIL-DU-POITOU;VIENNE;6035;d99b370e-6667-11e3-89ff-01f464e0362d;497892.0072999969;6617914.9498;0.357769246636279;46.63086243057787;46.6308624306,0.357769246636
87193318;St-Avold;N;O;172000;1;027+978;VALMONT;MOSELLE;6383;28f91e22-dfbc-11e3-a2ff-01a464e0362d;971710.9601000026;6893727.027899999;6.720845777989539;49.085756972482976;49.0857569725,6.72084577799
87381509;Mantes-la-Jolie;O;O;366000;1;057+275;MANTES-LA-VILLE;YVELINES;5341;28fe0f9a-dfbc-11e3-a2ff-01a464e0362d;605087.3266000003;6877352.324299999;1.703093090521909;48.989085133393594;48.9890851334,1.70309309052
87715441;Morez;N;O;878000;1;049+162;MOREZ;JURA;5675;c059d228-f312-11e3-90ff-015864e0362d;931694.6639000028;6607362.7586;6.023394053440845;46.526351946514154;46.5263519465,6.02339405344
87753418;Istres;N;O;935000;1;820+761;ISTRES;BOUCHES-DU-RHONE;4505;2931a330-dfbc-11e3-a2ff-01a464e0362d;860163.1229000017;6270494.377700001;4.980264822479767;43.51545289418477;43.5154528942,4.98026482248
87271395;Le Bourget;O;O;229000;1;009+365;BOURGET (LE );SEINE-SAINT-DENIS;4904;e12e24e2-19bf-11e5-a6ff-01fc64e0362d;657993.1963;6870242.736900002;2.426674011457213;48.93079100023168;48.9307910002,2.42667401146
87753764;Salon;N;O;925000;1;056+059;SALON-DE-PROVENCE;BOUCHES-DU-RHONE;6741;c03a0bbe-f312-11e3-90ff-015864e0362d;868547.8219000027;6284450.721000001;5.088449456368936;43.63903995373267;43.6390399537,5.08844945637
87545160;Lardy;N;O;570000;1;042+781;LARDY;ESSONNE;4873;e16c4a42-19bf-11e5-a6ff-01fc64e0362d;644878.7498999983;6824674.134599999;2.253571152085941;48.519964986339474;48.5199649863,2.25357115209
87313437;Villers-Bretonneux;N;O;261000;1;016+592;VILLERS-BRETONNEUX;SOMME;7270;d972168c-6667-11e3-89ff-01f464e0362d;665575.0533000007;6973866.7146999985;2.521582663371829;49.86262910170623;49.8626291017,2.52158266337
87696427;Dompierre-Sept-Fons;O;O;770000;1;027+752;DOMPIERRE-SUR-BESBRE;ALLIER;3983;d9a3e864-6667-11e3-89ff-01f464e0362d;751766.1656000018;6603155.090100002;3.675343009355433;46.52641660175006;46.5264166018,3.67534300936
87276725;Chambly;N;O;325000;1;040+880;CHAMBLY;OISE;3575;d9ba36a2-6667-11e3-89ff-01f464e0362d;644599.6796000004;6896232.566399999;2.240471809084233;49.1634568044194;49.1634568044,2.24047180908
