CODE_LIGNE;LIB_LIGNE;STATUT;RG_TRONCON;PKD;PKF;IDGAIA;X_D_L93;Y_D_L93;X_F_L93;Y_F_L93;X_D_WGS84;Y_D_WGS84;X_F_WGS84;Y_F_WGS84;C_GEO_D;C_GEO_F
648000;Ligne de St-Agne à Auch;Exploitée;1;005+928;089+147;79dc9444-e28c-11e8-92ff-01b064e0362d;572954.3203999996;6275758.853399999;506030.7305999994;6285535.643599998;1.427782850142415;43.5695091620044;0.596330093642621;43.642292490474155;43.569509162,1.42778285014;43.6422924905,0.596330093643
723000;Ligne du Monastier à La Bastide-St-Laurent-les-Bains;Exploitée;1;614+717;692+658;79df2618-e28c-11e8-92ff-01b064e0362d;720088.9676999971;6378975.151999999;771755.1582000032;6388730.442299999;3.252725952928161;44.509551491187366;3.904072729213187;44.59396345592516;44.5095514912,3.25272595293;44.5939634559,3.90407272921
072311;Raccordement d'Ocquerre;Exploitée;1;000+000;001+215;79d85e94-e28c-11e8-92ff-01b064e0362d;703863.9660999998;6882341.809900001;704385.8439999968;6883292.458299998;3.052848427160413;49.04094720164357;3.059996157844974;49.049491725728956;49.0409472016,3.05284842716;49.0494917257,3.05999615784
248000;Ligne de Compiègne à Roye-Faubourg-St-Gilles;Exploitée;1;084+430;086+300;79d8ca0e-e28c-11e8-92ff-01b064e0362d;687906.996299997;6925400.950300001;687897.8894999996;6927076.938700002;2.833358321962656;49.42794263984308;2.8331840399059773;49.443006287076294;49.4279426398,2.83335832196;49.4430062871,2.83318403991
680000;Ligne d'Elne à Arles-sur-Tech;Exploitée;1;480+827;495+180;79de3070-e28c-11e8-92ff-01b064e0362d;697078.7399000004;6166777.358800001;686552.6657000035;6159103.349399999;2.96445126114455;42.600699383319416;2.836553258205397;42.531591986432794;42.6006993833,2.96445126114;42.5315919864,2.83655325821
559000;Ligne de Pont-de-Braye à Blois;Exploitée;1;050+942;065+947;79e699a2-e28c-11e8-92ff-01b064e0362d;565814.7286000028;6734496.930799998;574052.6765000001;6722843.368000001;1.210845998709037;47.69717929719709;1.323949851487618;47.59393832757764;47.6971792972,1.21084599871;47.5939383276,1.32394985149
076000;Ligne d'Aulnay-sous-Bois à Roissy 2-RER;Exploitée;1;014+115;029+406;79d86dd0-e28c-11e8-92ff-01b064e0362d;662661.5447999984;6870368.4443;668605.1142999977;6878232.0342000015;2.490376582788052;48.9322092833586;2.570913938185854;49.003237414972354;48.9322092834,2.49037658279;49.003237415,2.57091393819
261000;Ligne d'Amiens à Laon;Exploitée;1;000+547;107+093;79d98880-e28c-11e8-92ff-01b064e0362d;650937.7132000029;6976957.959600002;745142.3184999973;6941451.631200001;2.317799117247087;49.889432094461604;3.623796750490141;49.570708824716306;49.8894320945,2.31779911725;49.5707088247,3.62379675049
871000;Ligne de Franois à Arc-et-Senans;Exploitée;1;000+486;027+425;79e1e6c0-e28c-11e8-92ff-01b064e0362d;921799.4161000028;6684705.010200001;910732.6780999973;6662731.004099999;5.93184604552049;47.22558033049808;5.775479568412113;47.03147753322004;47.2255803305,5.93184604552;47.0314775332,5.77547956841
973000;Ligne de Paris-St-Lazare à Versailles-Rive-Droite;Exploitée;1;000+051;022+896;79e265a8-e28c-11e8-92ff-01b064e0362d;650418.9143000022;6864259.758699998;636512.1106000021;6856963.763;2.324000851373341;48.876449960632634;2.135495058878982;48.80961784500103;48.8764499606,2.32400085137;48.809617845,2.13549505888
930333;Raccordement de Calandre;Exploitée;1;000+000;001+410;79e3325c-e28c-11e8-92ff-01b064e0362d;1068910.0864999965;6309966.313299999;1069613.3299999982;6310518.383099999;7.585396111246902;43.79228366820247;7.5945162567936535;43.79687559128382;43.7922836682,7.58539611125;43.7968755913,7.59451625679
485000;Ligne de Guingamp à Carhaix;Exploitée;1;505+129;558+183;79dc0064-e28c-11e8-92ff-01b064e0362d;246677.3351000026;6845920.4208;213555.07440000027;6817338.417199999;-3.148879497861953;48.55457636171348;-3.5639907921071643;48.27430831496787;48.5545763617,-3.14887949786;48.274308315,-3.56399079211
272316;Raccordement de La Plaine;Exploitée;1;003+475;003+922;79db5218-e28c-11e8-92ff-01b064e0362d;652462.0828000009;6868183.967799999;652909.616899997;6868565.330899999;2.351417111710866;48.911892858671614;2.357480428976519;48.91535514632971;48.9118928587,2.35141711171;48.9153551463,2.35748042898
558000;Ligne de Courtalain-St-Pellerin à Patay;Exploitée;1;026+273;041+600;79e4c778-e28c-11e8-92ff-01b064e0362d;582307.0248999968;6775493.504999999;597551.1519000009;6773916.1567;1.419744955874372;48.0692204717036;1.624751090569741;48.05759588034625;48.0692204717,1.41974495587;48.0575958803,1.62475109057
074000;Ligne d'Épernay à Reims;Exploitée;1;142+160;171+733;79d86b70-e28c-11e8-92ff-01b064e0362d;770873.6344999969;6883008.394900002;774529.8317999989;6907040.1954;3.96941973136454;49.04304060263549;4.023685509962517;49.2586711881528;49.0430406026,3.96941973136;49.2586711882,4.02368550996
284311;Raccordement de Libercourt;Exploitée;1;223+380;224+598;79db6bce-e28c-11e8-92ff-01b064e0362d;701095.9817999974;7038580.546399999;701407.9223000035;7039524.448199999;3.015406968259217;50.44471084982418;3.019795456251814;50.453183315948756;50.4447108498,3.01540696826;50.4531833159,3.01979545625
975900;Ligne de Nanterre-Université à Sartrouville;Exploitée;1;010+380;012+985;79e27026-e28c-11e8-92ff-01b064e0362d;642365.878399998;6867066.843699999;640850.9152000025;6868818.252799999;2.213829742518429;48.90102234617535;2.192921814599032;48.91663414254704;48.9010223462,2.21382974252;48.9166341425,2.1929218146
718000;Ligne de Brive-la-Gaillarde à Toulouse-Matabiau via Capdenac;Exploitée;1;148+011;396+018;79df0d54-e28c-11e8-92ff-01b064e0362d;584670.3502999991;6451208.2793000005;575065.0934000015;6280939.509500001;1.532386770673144;45.150523049638664;1.452641193850007;43.616488643780684;45.1505230496,1.53238677067;43.6164886438,1.45264119385
420306;Raccordement de Pontlieue (Le Mans);Exploitée;1;208+749;210+414;79db4dea-e28c-11e8-92ff-01b064e0362d;492793.6930000037;6769651.739399999;491314.60400000215;6769025.2238;0.221393525986727;47.994438422866075;0.201873292214463;47.98833389414958;47.9944384229,0.221393525987;47.9883338941,0.201873292214
447000;Ligne de Morlaix à Roscoff;Exploitée;1;002+636;028+203;79dba9d2-e28c-11e8-92ff-01b064e0362d;194911.50349999964;6850722.808699999;186975.71940000355;6869422.874299999;-3.853332939565772;48.559334765164664;-3.982835813208449;48.72064886373147;48.5593347652,-3.85333293957;48.7206488637,-3.98283581321
072000;Ligne du Trilport à Bazoches;Exploitée;1;051+904;124+248;79d85a24-e28c-11e8-92ff-01b064e0362d;697609.3126000017;6874239.510200001;744641.4173000008;6911925.388300002;2.9673477943349793;48.96809867397196;3.613704348861292;49.305370136854464;48.968098674,2.96734779433;49.3053701369,3.61370434886
