service_id,date,exception_type
12303,20200628,1
12303,20200611,1
12303,20200614,1
12303,20200901,1
12303,20200902,1
12303,20200903,1
12303,20200705,2
6690,20200714,2
12305,20200621,2
12305,20200703,2
12305,20200710,2
2073,20200713,1
2073,20200714,1
12309,20200612,1
12309,20200619,1
12309,20200626,1
12309,20200904,1
12309,20200608,1
12309,20200609,1
12309,20200610,1
12309,20200611,1
12309,20200613,1
12309,20200614,1
12309,20200615,1
12309,20200616,1
12309,20200617,1
12309,20200618,1
12309,20200620,1
12309,20200621,1
12309,20200622,1
12309,20200623,1
12309,20200624,1
12309,20200625,1
12309,20200627,1
12309,20200628,1
12309,20200711,2
12309,20200704,2
12310,20200622,2
12310,20200623,2
12310,20200615,2
12310,20200616,2
12310,20200617,2
12310,20200618,2
12310,20200620,2
12311,20200703,2
12311,20200710,2
12311,20200613,2
12311,20200620,2
12311,20200627,2
6460,20200713,1
12314,20200621,1
12316,20200703,1
12316,20200626,1
12316,20200904,1
12318,20200904,1
12319,20200713,1
12320,20200714,1
12323,20200615,1
12323,20200616,1
12323,20200617,1
12323,20200618,1
12323,20200622,1
12323,20200623,1
12323,20200624,1
12323,20200625,1
12323,20200629,1
12323,20200630,1
12323,20200701,1
12323,20200702,1
12323,20200831,1
12323,20200901,1
12323,20200902,1
12323,20200903,1
12324,20200714,1
12324,20200616,1
12324,20200617,1
12324,20200618,1
12324,20200623,1
12324,20200624,1
12324,20200625,1
12324,20200630,1
12324,20200701,1
12324,20200702,1
12324,20200831,1
12324,20200901,1
12324,20200902,1
12324,20200903,1
12325,20200612,1
12326,20200620,1
12326,20200627,1
12326,20200905,1
12326,20200615,1
12326,20200619,1
12326,20200622,1
12326,20200626,1
12326,20200713,2
12326,20200714,2
12326,20200704,2
12326,20200616,2
12326,20200617,2
12326,20200618,2
12326,20200623,2
12326,20200624,2
12326,20200625,2
12326,20200831,2
12326,20200901,2
12326,20200902,2
12326,20200903,2
12328,20200713,2
12328,20200714,2
12329,20200612,1
12330,20200608,1
1674,20200715,1
1674,20200713,2
11050,20200713,1
12333,20200621,1
12333,20200628,1
12333,20200614,1
12333,20200713,2
12333,20200714,2
6402,20200713,1
6402,20200714,1
6402,20200620,2
6402,20200627,2
8473,20200821,2
1746,20200821,1
12334,20200713,1
12334,20200714,1
12335,20200613,1
12336,20200817,2
12336,20200818,2
12336,20200819,2
12336,20200820,2
12337,20200620,1
12337,20200627,1
12337,20200905,1
12337,20200713,2
12337,20200817,2
12337,20200818,2
12337,20200819,2
12337,20200820,2
12337,20200821,2
12340,20200618,1
12340,20200625,1
12340,20200702,1
12340,20200903,1
12341,20200713,1
5859,20200615,1
5859,20200616,1
5859,20200617,1
5859,20200618,1
5859,20200622,1
5859,20200623,1
5859,20200624,1
5859,20200625,1
5859,20200629,1
5859,20200630,1
5859,20200701,1
5859,20200702,1
5859,20200831,1
5859,20200901,1
5859,20200902,1
5859,20200903,1
1166,20200904,1
5551,20200714,2
5551,20200615,2
5551,20200616,2
5551,20200617,2
5551,20200618,2
5551,20200622,2
5551,20200623,2
5551,20200624,2
5551,20200625,2
5551,20200629,2
5551,20200630,2
5551,20200701,2
5551,20200702,2
5551,20200831,2
5551,20200901,2
5551,20200902,2
5551,20200903,2
7022,20200713,1
7022,20200608,1
7022,20200609,1
7022,20200610,1
7022,20200611,1
7022,20200612,1
7022,20200613,1
7022,20200615,1
7022,20200616,1
7022,20200617,1
7022,20200618,1
7022,20200619,1
7022,20200620,1
7022,20200622,1
7022,20200623,1
7022,20200624,1
7022,20200625,1
7022,20200626,1
7022,20200627,1
7022,20200629,1
7022,20200630,1
7022,20200701,1
7022,20200702,1
7022,20200703,1
7022,20200704,1
5586,20200608,1
5586,20200609,1
5586,20200610,1
5586,20200611,1
5586,20200614,1
5586,20200615,1
5586,20200616,1
5586,20200617,1
5586,20200618,1
5586,20200621,1
5586,20200622,1
5586,20200623,1
5586,20200624,1
5586,20200625,1
5586,20200628,1
5586,20200831,1
5586,20200901,1
5586,20200902,1
5586,20200903,1
5586,20200612,1
5586,20200619,1
5586,20200626,1
5586,20200705,2
5064,20200608,1
5064,20200609,1
5064,20200610,1
5064,20200611,1
5064,20200615,1
5064,20200616,1
5064,20200617,1
5064,20200618,1
5064,20200622,1
5064,20200623,1
5064,20200624,1
5064,20200625,1
5064,20200629,1
5064,20200630,1
5064,20200701,1
5064,20200702,1
5064,20200831,1
5064,20200901,1
5064,20200902,1
5064,20200903,1
7426,20200621,1
7426,20200614,1
7426,20200627,2
7426,20200704,2
7426,20200711,2
7535,20200714,1
7423,20200628,1
7423,20200713,1
7145,20200713,1
7145,20200608,1
7145,20200609,1
7145,20200610,1
7145,20200611,1
7145,20200612,1
7145,20200613,1
7145,20200615,1
7145,20200616,1
7145,20200617,1
7145,20200618,1
7145,20200619,1
7145,20200620,1
7145,20200622,1
7145,20200623,1
7145,20200624,1
7145,20200625,1
7145,20200626,1
7145,20200627,1
7145,20200629,1
7145,20200630,1
7145,20200701,1
7145,20200702,1
7145,20200703,1
7145,20200704,1
7143,20200713,2
7143,20200615,2
7143,20200616,2
7143,20200617,2
7143,20200618,2
7143,20200619,2
7143,20200622,2
7143,20200623,2
7143,20200624,2
7143,20200625,2
7143,20200626,2
7143,20200629,2
7143,20200630,2
7143,20200701,2
7143,20200702,2
7143,20200703,2
12343,20200714,1
6345,20200705,2
6345,20200830,2
12346,20200627,1
12346,20200905,1
12347,20200622,1
69,20200905,1
4875,20200608,1
4875,20200609,1
4875,20200610,1
4875,20200611,1
4875,20200612,1
4875,20200615,1
4875,20200616,1
4875,20200617,1
4875,20200618,1
4875,20200619,1
4875,20200713,2
4875,20200714,2
12348,20200713,2
12349,20200619,1
12349,20200626,1
12349,20200703,1
12349,20200612,1
12349,20200904,1
12351,20200713,1
12351,20200621,1
12351,20200628,1
12351,20200614,1
12351,20200620,2
12351,20200627,2
12352,20200713,1
12352,20200704,1
12352,20200618,1
12352,20200619,1
12352,20200621,1
12352,20200625,1
12352,20200626,1
12352,20200628,1
12352,20200611,1
12352,20200612,1
12352,20200614,1
12352,20200903,1
12352,20200904,1
12352,20200705,2
12352,20200620,2
12352,20200627,2
12352,20200613,2
12353,20200704,1
12353,20200608,1
12353,20200609,1
12353,20200610,1
12353,20200611,1
12353,20200614,1
12353,20200615,1
12353,20200616,1
12353,20200617,1
12353,20200618,1
12353,20200621,1
12353,20200622,1
12353,20200623,1
12353,20200624,1
12353,20200625,1
12353,20200628,1
12353,20200612,2
12353,20200613,2
12353,20200619,2
12353,20200620,2
12353,20200626,2
12353,20200627,2
12354,20200619,1
12354,20200620,1
12354,20200626,1
12354,20200627,1
12354,20200612,1
12354,20200613,1
12354,20200904,1
12354,20200905,1
12354,20200713,2
12354,20200714,2
12354,20200704,2
12354,20200615,2
12354,20200616,2
12354,20200617,2
12354,20200618,2
12354,20200622,2
12354,20200623,2
12354,20200624,2
12354,20200625,2
12354,20200831,2
12354,20200901,2
12354,20200902,2
12354,20200903,2
9678,20200608,1
9678,20200609,1
9678,20200610,1
9678,20200611,1
9678,20200615,1
9678,20200616,1
9678,20200617,1
9678,20200618,1
9678,20200622,1
9678,20200623,1
9678,20200624,1
9678,20200625,1
9678,20200629,1
9678,20200630,1
9678,20200701,1
9678,20200702,1
9678,20200612,1
9678,20200613,1
9678,20200614,1
9678,20200619,1
9678,20200620,1
9678,20200621,1
9678,20200626,1
9678,20200627,1
9678,20200628,1
9678,20200703,1
9678,20200704,1
9678,20200705,1
9678,20200710,1
9678,20200711,1
9678,20200712,1
9678,20200715,2
9678,20200716,2
12356,20200611,1
12356,20200618,1
12356,20200625,1
12356,20200702,1
12356,20200903,1
12356,20200714,2
12357,20200621,1
5578,20200713,2
5578,20200714,2
11031,20200608,1
11031,20200609,1
11031,20200610,1
11031,20200611,1
11031,20200831,1
11031,20200901,1
11031,20200902,1
11031,20200903,1
11431,20200714,2
12358,20200714,1
12358,20200621,2
5059,20200714,1
12359,20200621,1
12360,20200714,1
12360,20200621,2
1371,20200905,1
12361,20200713,2
12361,20200714,2
12363,20200715,1
12363,20200619,1
12363,20200626,1
12363,20200703,1
12363,20200612,1
12363,20200901,1
12363,20200902,1
12363,20200903,1
12363,20200904,1
12363,20200713,2
555,20200714,1
1155,20200612,1
12368,20200715,1
12368,20200817,2
8413,20200703,1
12369,20200615,1
12369,20200616,1
12369,20200617,1
12369,20200618,1
12369,20200622,1
12369,20200623,1
12369,20200624,1
12369,20200625,1
12369,20200629,1
12369,20200630,1
12369,20200701,1
12369,20200702,1
12369,20200901,1
12369,20200902,1
12369,20200903,1
12371,20200615,1
12371,20200619,1
12371,20200620,1
12371,20200622,1
12371,20200626,1
12371,20200627,1
12371,20200612,1
12371,20200613,1
12371,20200831,1
12371,20200901,1
12371,20200902,1
12371,20200903,1
12371,20200904,1
12371,20200905,1
12371,20200704,2
7446,20200612,1
7446,20200614,1
7446,20200703,1
2476,20200608,1
2476,20200609,1
2476,20200610,1
2476,20200611,1
2476,20200615,1
2476,20200616,1
2476,20200617,1
2476,20200618,1
2476,20200622,1
2476,20200623,1
2476,20200624,1
2476,20200625,1
2476,20200629,1
2476,20200630,1
2476,20200701,1
2476,20200702,1
2476,20200831,1
2476,20200901,1
2476,20200902,1
2476,20200903,1
12372,20200611,1
12373,20200608,1
12374,20200904,1
12375,20200714,1
5910,20200714,2
6882,20200904,1
12376,20200817,1
1776,20200608,1
1776,20200609,1
1776,20200610,1
1776,20200611,1
1776,20200612,1
1776,20200614,1
1776,20200615,1
1776,20200616,1
1776,20200617,1
1776,20200618,1
1776,20200619,1
1776,20200621,1
1776,20200622,1
1776,20200623,1
1776,20200624,1
1776,20200625,1
1776,20200626,1
1776,20200628,1
1776,20200831,1
1776,20200901,1
1776,20200902,1
1776,20200903,1
1776,20200904,1
1776,20200705,2
12377,20200612,1
12377,20200619,1
12377,20200626,1
12377,20200703,1
12377,20200904,1
12378,20200630,1
12378,20200714,1
12378,20200616,1
12378,20200901,1
12378,20200628,2
12378,20200621,2
2652,20200608,1
2652,20200615,1
2652,20200622,1
2652,20200629,1
2652,20200831,1
2652,20200901,1
2652,20200902,1
2652,20200903,1
87,20200613,1
6042,20200608,1
12380,20200714,2
12380,20200715,2
12381,20200608,1
12383,20200609,1
7749,20200714,1
12384,20200614,1
12385,20200713,1
12385,20200715,1
12385,20200716,1
12385,20200717,1
12385,20200718,1
12385,20200621,1
12385,20200628,1
12385,20200615,1
12385,20200617,1
12385,20200618,1
12385,20200619,1
12385,20200620,1
12385,20200622,1
12385,20200624,1
12385,20200625,1
12385,20200626,1
12385,20200627,1
12385,20200706,1
12385,20200707,1
12385,20200708,1
12385,20200709,1
12385,20200710,1
12385,20200711,1
12385,20200720,1
12385,20200721,1
12385,20200722,1
12385,20200723,1
12385,20200724,1
12385,20200725,1
12385,20200727,1
12385,20200728,1
12385,20200729,1
12385,20200730,1
12385,20200731,1
12385,20200801,1
12385,20200803,1
12385,20200804,1
12385,20200805,1
12385,20200806,1
12385,20200807,1
12385,20200808,1
12385,20200810,1
12385,20200811,1
12385,20200812,1
12385,20200813,1
12385,20200814,1
12385,20200815,1
12385,20200817,1
12385,20200818,1
12385,20200819,1
12385,20200820,1
12385,20200821,1
12385,20200822,1
12385,20200824,1
12385,20200825,1
12385,20200826,1
12385,20200827,1
12385,20200828,1
12385,20200829,1
12385,20200831,1
12385,20200902,1
12385,20200903,1
12385,20200904,1
12385,20200905,1
12385,20200610,2
12385,20200611,2
12385,20200705,2
12385,20200719,2
12385,20200616,2
12385,20200623,2
12385,20200901,2
12386,20200715,2
12386,20200818,2
12386,20200819,2
12386,20200820,2
12386,20200821,2
6107,20200619,2
6107,20200622,2
6107,20200623,2
6107,20200624,2
6107,20200625,2
6107,20200629,2
6107,20200630,2
6107,20200701,2
6107,20200702,2
2330,20200619,1
8324,20200608,1
2188,20200905,1
571,20200713,1
12389,20200608,1
7754,20200904,1
12390,20200612,1
12393,20200608,1
6880,20200814,1
6880,20200714,1
6048,20200630,1
6048,20200701,1
6048,20200702,1
6048,20200703,1
6048,20200715,1
6048,20200901,1
6048,20200902,1
6048,20200903,1
6048,20200904,1
6048,20200905,1
6048,20200713,2
12394,20200609,1
12394,20200610,1
12394,20200611,1
12394,20200831,1
12397,20200616,1
12398,20200621,1
12399,20200814,2
8763,20200904,1
739,20200710,1
739,20200814,1
12400,20200713,1
12400,20200714,1
6159,20200714,1
8788,20200704,1
8788,20200705,1
8788,20200612,1
8788,20200619,1
8788,20200626,1
8788,20200615,2
8788,20200616,2
8788,20200617,2
8788,20200618,2
8788,20200620,2
8788,20200621,2
8788,20200622,2
8788,20200623,2
8788,20200624,2
8788,20200625,2
8788,20200627,2
8788,20200628,2
8788,20200613,2
8788,20200614,2
1065,20200905,1
8761,20200713,1
8761,20200627,2
6532,20200620,1
6532,20200627,1
6532,20200613,1
6532,20200905,1
6532,20200706,1
6532,20200707,1
6532,20200708,1
6532,20200709,1
6532,20200715,1
6532,20200716,1
6532,20200720,1
6532,20200721,1
6532,20200722,1
6532,20200723,1
6532,20200727,1
6532,20200728,1
6532,20200729,1
6532,20200730,1
6532,20200803,1
6532,20200804,1
6532,20200805,1
6532,20200806,1
6532,20200810,1
6532,20200811,1
6532,20200812,1
6532,20200813,1
6532,20200817,1
6532,20200818,1
6532,20200819,1
6532,20200820,1
6532,20200824,1
6532,20200825,1
6532,20200826,1
6532,20200827,1
6532,20200704,2
6532,20200713,2
6532,20200714,2
6532,20200615,2
6532,20200616,2
6532,20200617,2
6532,20200618,2
6532,20200622,2
6532,20200623,2
6532,20200624,2
6532,20200625,2
6532,20200831,2
6532,20200901,2
6532,20200902,2
6532,20200903,2
12402,20200614,1
7341,20200713,1
7341,20200608,1
7341,20200609,1
7341,20200610,1
7341,20200611,1
7341,20200615,1
7341,20200616,1
7341,20200617,1
7341,20200618,1
7341,20200622,1
7341,20200623,1
7341,20200624,1
7341,20200625,1
7341,20200629,1
7341,20200630,1
7341,20200701,1
7341,20200702,1
7341,20200831,1
7341,20200901,1
7341,20200902,1
7341,20200903,1
7341,20200904,1
12404,20200703,1
12404,20200612,1
12404,20200613,1
12404,20200614,1
12404,20200619,1
12404,20200620,1
12404,20200621,1
12404,20200626,1
12404,20200627,1
12404,20200628,1
12404,20200904,1
12404,20200905,1
12404,20200713,2
12404,20200714,2
12405,20200627,1
737,20200814,2
12406,20200905,1
9017,20200714,1
12407,20200621,1
12409,20200714,1
12410,20200713,1
12411,20200714,1
12411,20200616,1
12411,20200617,1
12411,20200618,1
12411,20200623,1
12411,20200624,1
12411,20200625,1
12411,20200630,1
12411,20200701,1
12411,20200702,1
12411,20200831,1
12411,20200901,1
12411,20200902,1
12411,20200903,1
12414,20200814,2
8451,20200704,1
8451,20200614,1
8451,20200619,1
8451,20200621,1
8451,20200626,1
8451,20200628,1
8451,20200615,2
8451,20200616,2
8451,20200617,2
8451,20200618,2
8451,20200620,2
8451,20200622,2
8451,20200623,2
8451,20200624,2
8451,20200625,2
8451,20200627,2
8448,20200612,1
11560,20200608,1
12415,20200714,2
12415,20200715,2
12416,20200620,1
12416,20200627,1
12416,20200905,1
12416,20200713,2
1194,20200713,1
11558,20200727,1
11558,20200619,1
11558,20200807,1
12418,20200608,1
2772,20200613,1
12419,20200727,2
12419,20200619,2
12419,20200807,2
12420,20200713,1
12421,20200714,1
12423,20200620,1
12423,20200627,1
12423,20200905,1
12423,20200615,1
12423,20200619,1
12423,20200622,1
12423,20200626,1
12423,20200713,2
12423,20200714,2
12423,20200704,2
12423,20200616,2
12423,20200617,2
12423,20200618,2
12423,20200623,2
12423,20200624,2
12423,20200625,2
12423,20200831,2
12423,20200901,2
12423,20200902,2
12423,20200903,2
12428,20200715,1
12428,20200609,1
12428,20200610,1
12428,20200611,1
12428,20200612,1
12428,20200616,1
12428,20200617,1
12428,20200618,1
12428,20200619,1
12428,20200623,1
12428,20200624,1
12428,20200625,1
12428,20200626,1
12428,20200630,1
12428,20200701,1
12428,20200702,1
12428,20200703,1
12428,20200901,1
12428,20200902,1
12428,20200903,1
12428,20200904,1
12428,20200713,2
1772,20200608,1
1772,20200609,1
1772,20200610,1
1772,20200611,1
1772,20200612,1
1772,20200615,1
1772,20200616,1
1772,20200617,1
1772,20200618,1
1772,20200619,1
1772,20200622,1
1772,20200623,1
1772,20200624,1
1772,20200625,1
1772,20200626,1
1772,20200629,1
1772,20200630,1
1772,20200701,1
1772,20200702,1
1772,20200703,1
1772,20200831,1
1772,20200901,1
1772,20200902,1
1772,20200903,1
1772,20200904,1
1719,20200616,1
1719,20200617,1
1719,20200618,1
1719,20200619,1
1719,20200623,1
1719,20200624,1
1719,20200625,1
1719,20200626,1
1719,20200630,1
1719,20200701,1
1719,20200702,1
1719,20200703,1
1719,20200609,1
1719,20200610,1
1719,20200611,1
1719,20200612,1
1719,20200901,1
1719,20200902,1
1719,20200903,1
1719,20200904,1
6952,20200613,2
6952,20200620,2
6952,20200627,2
5554,20200714,1
507,20200715,1
507,20200713,2
5903,20200713,2
5903,20200714,2
12431,20200713,1
12431,20200905,1
12431,20200715,2
12431,20200616,2
12431,20200617,2
12431,20200618,2
12431,20200619,2
12431,20200623,2
12431,20200624,2
12431,20200625,2
12431,20200626,2
12431,20200630,2
12431,20200701,2
12431,20200702,2
12431,20200703,2
12431,20200901,2
12431,20200902,2
12431,20200903,2
12431,20200904,2
12432,20200714,1
5384,20200904,1
12434,20200627,1
12435,20200706,1
12435,20200831,1
12436,20200706,2
12436,20200714,2
12436,20200831,2
12438,20200713,2
12438,20200714,2
12439,20200905,1
12440,20200713,1
12440,20200714,1
8174,20200615,2
8174,20200616,2
8174,20200617,2
8174,20200618,2
8174,20200619,2
8174,20200622,2
8174,20200623,2
8174,20200624,2
8174,20200625,2
8174,20200626,2
8174,20200629,2
8174,20200630,2
8174,20200701,2
8174,20200702,2
8174,20200703,2
8174,20200831,2
8174,20200901,2
8174,20200902,2
8174,20200903,2
8174,20200904,2
2475,20200714,1
5406,20200714,2
5406,20200715,2
3948,20200612,1
1722,20200608,1
4014,20200713,1
1723,20200713,2
1723,20200714,2
1723,20200616,2
1723,20200617,2
1723,20200618,2
1723,20200619,2
1723,20200623,2
1723,20200624,2
1723,20200625,2
1723,20200626,2
1723,20200630,2
