stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
StopPoint:OCETrain TER-87718361,Orchamps,,47.1501020,5.65925200,,,0,StopArea:OCE87718361
StopArea:OCE87718403,Roche-lez-Beaupré,,47.2761750,6.11119500,,,1,
StopPoint:OCETrain TER-87718403,Roche-lez-Beaupré,,47.2761750,6.11119500,,,0,StopArea:OCE87718403
StopArea:OCE87718411,Novillars,,47.2842400,6.13308100,,,1,
StopPoint:OCETrain TER-87718411,Novillars,,47.2842400,6.13308100,,,0,StopArea:OCE87718411
StopArea:OCE87718429,Deluz,,47.2924930,6.19960700,,,1,
StopPoint:OCETrain TER-87718429,Deluz,,47.2924930,6.19960700,,,0,StopArea:OCE87718429
StopArea:OCE87718437,Laissey,,47.2988740,6.23361500,,,1,
StopPoint:OCETrain TER-87718437,Laissey,,47.2988740,6.23361500,,,0,StopArea:OCE87718437
StopArea:OCE87718460,Baume-les-Dames,,47.3539720,6.35964900,,,1,
StopPoint:OCETrain TER-87718460,Baume-les-Dames,,47.3539720,6.35964900,,,0,StopArea:OCE87718460
StopArea:OCE87718502,Saône,,47.2095700,6.10137900,,,1,
StopPoint:OCECar TER-87718502,Saône,,47.2095700,6.10137900,,,0,StopArea:OCE87718502
StopPoint:OCETrain TER-87718502,Saône,,47.2095700,6.10137900,,,0,StopArea:OCE87718502
StopArea:OCE87718510,Mamirolle,,47.1999030,6.16183300,,,1,
StopPoint:OCECar TER-87718510,Mamirolle,,47.1999030,6.16183300,,,0,StopArea:OCE87718510
StopPoint:OCETrain TER-87718510,Mamirolle,,47.1999030,6.16183300,,,0,StopArea:OCE87718510
StopArea:OCE87718528,L'Hôpital-du-Grosbois,,47.1692120,6.21327000,,,1,
StopPoint:OCECar TER-87718528,L'Hôpital-du-Grosbois,,47.1692120,6.21327000,,,0,StopArea:OCE87718528
StopPoint:OCETrain TER-87718528,L'Hôpital-du-Grosbois,,47.1692120,6.21327000,,,0,StopArea:OCE87718528
StopArea:OCE87718536,Étalans,,47.1556960,6.27084200,,,1,
StopPoint:OCETrain TER-87718536,Étalans,,47.1556960,6.27084200,,,0,StopArea:OCE87718536
StopArea:OCE87718544,Le Valdahon,,47.1497330,6.34227400,,,1,
StopPoint:OCECar TER-87718544,Le Valdahon,,47.1497330,6.34227400,,,0,StopArea:OCE87718544
StopPoint:OCETrain TER-87718544,Le Valdahon,,47.1497330,6.34227400,,,0,StopArea:OCE87718544
StopArea:OCE87718551,Avoudrey,,47.1298520,6.43481000,,,1,
StopPoint:OCECar TER-87718551,Avoudrey,,47.1298520,6.43481000,,,0,StopArea:OCE87718551
StopPoint:OCETrain TER-87718551,Avoudrey,,47.1298520,6.43481000,,,0,StopArea:OCE87718551
StopArea:OCE87718577,Gilley,,47.0503570,6.49238800,,,1,
StopPoint:OCECar TER-87718577,Gilley,,47.0503570,6.49238800,,,0,StopArea:OCE87718577
StopPoint:OCETrain TER-87718577,Gilley,,47.0503570,6.49238800,,,0,StopArea:OCE87718577
StopArea:OCE87718601,Le Valdahon Camp Militaire,,47.1510450,6.31486200,,,1,
StopPoint:OCETrain TER-87718601,Le Valdahon Camp Militaire,,47.1510450,6.31486200,,,0,StopArea:OCE87718601
StopArea:OCE87718619,Morteau,,47.0537210,6.60479200,,,1,
StopPoint:OCECar TER-87718619,Morteau,,47.0537210,6.60479200,,,0,StopArea:OCE87718619
StopPoint:OCETrain TER-87718619,Morteau,,47.0537210,6.60479200,,,0,StopArea:OCE87718619
StopArea:OCE87718833,Mouchard,,46.9768650,5.79969800,,,1,
StopPoint:OCECar TER-87718833,Mouchard,,46.9768650,5.79969800,,,0,StopArea:OCE87718833
StopPoint:OCETrain TER-87718833,Mouchard,,46.9768650,5.79969800,,,0,StopArea:OCE87718833
StopArea:OCE87718841,Arc-et-Senans,,47.0304730,5.77683000,,,1,
StopPoint:OCECar TER-87718841,Arc-et-Senans,,47.0304730,5.77683000,,,0,StopArea:OCE87718841
StopPoint:OCETrain TER-87718841,Arc-et-Senans,,47.0304730,5.77683000,,,0,StopArea:OCE87718841
StopArea:OCE87718866,Montbarrey,,47.0360110,5.63619000,,,1,
StopPoint:OCECar TER-87718866,Montbarrey,,47.0360110,5.63619000,,,0,StopArea:OCE87718866
StopPoint:OCETrain TER-87718866,Montbarrey,,47.0360110,5.63619000,,,0,StopArea:OCE87718866
StopArea:OCE87721001,Lyon Vaise,,45.7797600,4.80418600,,,1,
StopPoint:OCETrain TER-87721001,Lyon Vaise,,45.7797600,4.80418600,,,0,StopArea:OCE87721001
StopArea:OCE87721035,Amplepuis,,45.9710140,4.32676300,,,1,
StopPoint:OCECar TER-87721035,Amplepuis,,45.9710140,4.32676300,,,0,StopArea:OCE87721035
StopPoint:OCETrain TER-87721035,Amplepuis,,45.9710140,4.32676300,,,0,StopArea:OCE87721035
StopArea:OCE87721043,Saint-Victor - Thizy,,46.0025850,4.28110600,,,1,
StopPoint:OCECar TER-87721043,Saint-Victor - Thizy,,46.0025850,4.28110600,,,0,StopArea:OCE87721043
StopPoint:OCETrain TER-87721043,Saint-Victor - Thizy,,46.0025850,4.28110600,,,0,StopArea:OCE87721043
StopArea:OCE87721050,Régny,,45.9877430,4.21526300,,,1,
StopPoint:OCECar TER-87721050,Régny,,45.9877430,4.21526300,,,0,StopArea:OCE87721050
StopPoint:OCETrain TER-87721050,Régny,,45.9877430,4.21526300,,,0,StopArea:OCE87721050
StopArea:OCE87721159,Lyon Saint-Paul,,45.7660770,4.82695400,,,1,
StopPoint:OCETramTrain-87721159,Lyon Saint-Paul,,45.7660770,4.82695400,,,0,StopArea:OCE87721159
StopArea:OCE87721175,Lyon Gorge de Loup,,45.7660950,4.80469700,,,1,
StopPoint:OCECar TER-87721175,Lyon Gorge de Loup,,45.7660950,4.80469700,,,0,StopArea:OCE87721175
StopPoint:OCETramTrain-87721175,Lyon Gorge de Loup,,45.7660950,4.80469700,,,0,StopArea:OCE87721175
StopArea:OCE87721225,Collonges - Fontaines,,45.8291280,4.84665000,,,1,
StopPoint:OCETrain TER-87721225,Collonges - Fontaines,,45.8291280,4.84665000,,,0,StopArea:OCE87721225
StopArea:OCE87721241,Couzon-au-Mont-d'Or,,45.8487600,4.82948000,,,1,
StopPoint:OCETrain TER-87721241,Couzon-au-Mont-d'Or,,45.8487600,4.82948000,,,0,StopArea:OCE87721241
StopArea:OCE87721266,Albigny - Neuville,,45.8748970,4.83285200,,,1,
StopPoint:OCETrain TER-87721266,Albigny - Neuville,,45.8748970,4.83285200,,,0,StopArea:OCE87721266
StopArea:OCE87721282,Saint-Germain-au-Mont-d'Or,,45.8884310,4.80420600,,,1,
StopPoint:OCECar TER-87721282,Saint-Germain-au-Mont-d'Or,,45.8884310,4.80420600,,,0,StopArea:OCE87721282
StopPoint:OCETrain TER-87721282,Saint-Germain-au-Mont-d'Or,,45.8884310,4.80420600,,,0,StopArea:OCE87721282
StopArea:OCE87721290,Quincieux,,45.9069140,4.77857000,,,1,
StopPoint:OCECar TER-87721290,Quincieux,,45.9069140,4.77857000,,,0,StopArea:OCE87721290
StopPoint:OCETrain TER-87721290,Quincieux,,45.9069140,4.77857000,,,0,StopArea:OCE87721290
StopArea:OCE87721324,Anse,,45.9393510,4.71982400,,,1,
StopPoint:OCETrain TER-87721324,Anse,,45.9393510,4.71982400,,,0,StopArea:OCE87721324
StopArea:OCE87721332,Villefranche-sur-Saône,,45.9844820,4.72079800,,,1,
StopPoint:OCECar TER-87721332,Villefranche-sur-Saône,,45.9844820,4.72079800,,,0,StopArea:OCE87721332
StopPoint:OCETrain TER-87721332,Villefranche-sur-Saône,,45.9844820,4.72079800,,,0,StopArea:OCE87721332
StopArea:OCE87721340,Saint-Georges-de-Reneins,,46.0622100,4.71888800,,,1,
StopPoint:OCETrain TER-87721340,Saint-Georges-de-Reneins,,46.0622100,4.71888800,,,0,StopArea:OCE87721340
StopArea:OCE87721357,Belleville sur Sâone,,46.1119520,4.72901100,,,1,
StopPoint:OCECar TER-87721357,Belleville sur Sâone,,46.1119520,4.72901100,,,0,StopArea:OCE87721357
StopPoint:OCETrain TER-87721357,Belleville sur Sâone,,46.1119520,4.72901100,,,0,StopArea:OCE87721357
