route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
FR:Line::11D73E7F-3314-4000-B93A-A4781C56C041:,1187,P61,Aulnoye - Aymeries - Hirson,,2,,,
FR:Line::11F076F8-55AD-4273-8679-AB5D0FBE8F9E:,1187,P27,Toulouse Matabiau - Clermont Ferrand,,2,,,
FR:Line::11F44E86-C3F3-43CF-BCDD-AD1B4472E63D:,1187,C10,Sete - Lunel,,2,,,
FR:Line::124908e5-9f85-4eaf-876e-45fcae675ad4:,1187,P30,Alençon - Le Mans - Tours,,2,,,
FR:Line::125499d8-ba0e-49c5-9490-04cc35192851:,1187,P100,Car Rouen-Pont Audemer,,3,,,
FR:Line::12F1382A-0107-43BD-9724-8BF0BC91CBCD:,1187,K1,Orléans - Le Croisic,,2,,,
FR:Line::12c8d414-e66c-4a8d-a612-1a2efaa1e584:,1187,P111,Car Lisieux-Deauville,,3,,,
FR:Line::1352FD82-EA86-4D62-BDCD-197FC12DDB2F:,1187,P22,Challans - St-Jean-De-Monts,,3,,,
FR:Line::13646F20-4947-4CFA-B40D-63FF0D28C61E:,1187,C4,Marseille - Miramas Via Cote Bleue,,2,,,
FR:Line::13DADBDA-4FB1-4AA3-8DAB-60E24EF4AAFF:,1187,K5+,Paris - Bourges,,2,,,
FR:Line::1421bbf5-44b2-4770-888e-ded13b7a8f89:,OCEdefault,A07,Montélimar / Nyons,,3,,,
FR:Line::14254a37-7e25-43a2-8be1-db7eafb9b72c:,1187,C42,NANCY - ST DIE DES VOSGES,,2,,,
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,1187,552A,Toulouse - Hendaye,,3,,,
FR:Line::14E49293-AD6D-4B42-9644-6097B94FF1E7:,1187,P814,Lichtenberg - Ingwiller,,3,,,
FR:Line::1519c1b8-948b-465a-9ec3-3da0d28aebe6:,1187,P117,La Bastide St Laurent L Bains - Langogne,,3,,,
FR:Line::1658a1cd-b1c4-4e2c-ba35-1eee2ae6fbf9:,1187,P30,Tours - Château du Loir - Le Mans,,2,,,
FR:Line::16796706-208E-49D1-8EE6-72B846994C27:,1187,P3,Limoux - Carcassonne,,2,,,
FR:Line::16895F67-B9EB-4357-94FE-46096C3CD885:,1187,K24,Avignon Centre - Valence - Lyon Perrache - Macon,,2,,,
FR:Line::16FE01A8-BCC7-4AC8-A0B7-7173EEB65876:,1187,P1,Tours - Saumur - Angers - Nantes,,2,,,
FR:Line::16d3fc7b-59da-4b5b-b50f-8ff6e11eaea4:,OCEdefault,C70+,CA TGV - REIMS - CHARLEVILLE - SEDAN,,2,,,
FR:Line::17ec14e3-7470-4a7d-9739-1cc0df566193:,1187,E01,RE Chamonix / Grenoble,,3,,,
FR:Line::18E717A0-950C-40A2-8F27-98A8EE8ADD20:,1187,C50,Lille Flandres - Don-Sainghin - Béthune,,2,,,
FR:Line::19171e23-18d4-4cb6-8a51-be83ff39e970:,1187,L11,11. Tours- Châtellerault - Poitiers,,2,,,
FR:Line::193F093C-62C8-45A2-9CC0-D515308AF463:,1187,P853,Longwy - Longuyon,,3,,,
FR:Line::19BA5AA5-4D5A-4789-BB56-F89018867C4D:,1187,P3,Les Arcs - St Raphael - Cannes,,2,,,
FR:Line::1AB9198D-5692-4BEE-8A10-D06707EB7097:,1187,K15,15. La Rochelle-Bordeaux,,3,,,
FR:Line::1AC9122F-96CA-4237-BEDA-79ACE1F2F02B:,1187,P21,Tours - Chinon,,2,,,
FR:Line::1BF2D66F-09EF-4CB8-A003-1417C1EA6532:,1187,K8+,Paris - Orléans,,2,,,
