from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_route_id,to_route_id
StopPoint:OCETrain TER-85161554,StopPoint:OCETrain TER-85161554,2,300,,
StopPoint:OCETrain TER-85162727,StopPoint:OCETrain TER-85162727,2,300,,
StopPoint:OCETrain TER-85162735,StopPoint:OCETrain TER-85162735,2,300,,
StopPoint:OCETrain TER-85162750,StopPoint:OCETrain TER-85162750,2,300,,
StopPoint:OCETrain TER-85162834,StopPoint:OCETrain TER-85162834,2,300,,
StopPoint:OCETrain TER-85171421,StopPoint:OCETrain TER-85171421,2,300,,
StopPoint:OCECar TER-87003483,StopPoint:OCECar TER-87003483,2,300,,
StopPoint:OCECar TER-87003707,StopPoint:OCECar TER-87003707,2,300,,
StopPoint:OCECar TER-87005397,StopPoint:OCECar TER-87005397,2,300,,
StopPoint:OCECar TER-87007146,StopPoint:OCECar TER-87007146,2,300,,
StopPoint:OCECar TER-87009696,StopPoint:OCECar TER-87009696,2,300,,
StopPoint:OCECar TER-87009712,StopPoint:OCECar TER-87009712,2,300,,
StopPoint:OCECar TER-87024380,StopPoint:OCECar TER-87024380,2,300,,
StopPoint:OCECar TER-87101998,StopPoint:OCECar TER-87101998,2,300,,
StopPoint:OCECar TER-87107409,StopPoint:OCECar TER-87107409,2,300,,
StopPoint:OCECar TER-87107417,StopPoint:OCECar TER-87107417,2,300,,
StopPoint:OCECar TER-87107425,StopPoint:OCECar TER-87107425,2,300,,
StopPoint:OCECar TER-87107433,StopPoint:OCECar TER-87107433,2,300,,
StopPoint:OCECar TER-87107458,StopPoint:OCECar TER-87107458,2,300,,
StopPoint:OCECar TER-87107466,StopPoint:OCECar TER-87107466,2,300,,
StopPoint:OCECar TER-87107474,StopPoint:OCECar TER-87107474,2,300,,
StopPoint:OCECar TER-87107482,StopPoint:OCECar TER-87107482,2,300,,
StopPoint:OCECar TER-87107490,StopPoint:OCECar TER-87107490,2,300,,
StopPoint:OCECar TER-87107508,StopPoint:OCECar TER-87107508,2,300,,
StopPoint:OCECar TER-87108829,StopPoint:OCECar TER-87108829,2,300,,
StopPoint:OCETrain TER-87109306,StopPoint:OCETrain TER-87109306,2,300,,
StopPoint:OCECar TER-87110171,StopPoint:OCECar TER-87110171,2,300,,
StopPoint:OCECar TER-87110189,StopPoint:OCECar TER-87110189,2,300,,
StopPoint:OCECar TER-87110197,StopPoint:OCECar TER-87110197,2,300,,
StopPoint:OCECar TER-87110205,StopPoint:OCECar TER-87110205,2,300,,
StopPoint:OCECar TER-87110346,StopPoint:OCECar TER-87110346,2,300,,
StopPoint:OCECar TER-87110361,StopPoint:OCECar TER-87110361,2,300,,
StopPoint:OCECar TER-87110379,StopPoint:OCECar TER-87110379,2,300,,
StopPoint:OCETrain TER-87111864,StopPoint:OCETrain TER-87111864,2,300,,
StopPoint:OCECar TER-87112326,StopPoint:OCECar TER-87112326,2,300,,
StopPoint:OCECar TER-87112334,StopPoint:OCECar TER-87112334,2,300,,
StopPoint:OCECar TER-87112342,StopPoint:OCECar TER-87112342,2,300,,
StopPoint:OCECar TER-87112714,StopPoint:OCECar TER-87112714,2,300,,
StopPoint:OCECar TER-87112771,StopPoint:OCECar TER-87112771,2,300,,
StopPoint:OCECar TER-87113001,StopPoint:OCECar TER-87113001,2,300,,
StopPoint:OCETrain TER-87113001,StopPoint:OCETrain TER-87113001,2,300,,
StopPoint:OCETrain TER-87116137,StopPoint:OCETrain TER-87116137,2,300,,
StopPoint:OCETrain TER-87116517,StopPoint:OCETrain TER-87116517,2,300,,
StopPoint:OCECar TER-87116582,StopPoint:OCECar TER-87116582,2,300,,
StopPoint:OCETrain TER-87116582,StopPoint:OCETrain TER-87116582,2,300,,
StopPoint:OCECar TER-87117119,StopPoint:OCECar TER-87117119,2,300,,
StopPoint:OCECar TER-87117440,StopPoint:OCECar TER-87117440,2,300,,
StopPoint:OCECar TER-87117457,StopPoint:OCECar TER-87117457,2,300,,
StopPoint:OCECar TER-87117465,StopPoint:OCECar TER-87117465,2,300,,
StopPoint:OCECar TER-87117499,StopPoint:OCECar TER-87117499,2,300,,
StopPoint:OCECar TER-87117507,StopPoint:OCECar TER-87117507,2,300,,
StopPoint:OCECar TER-87117515,StopPoint:OCECar TER-87117515,2,300,,
StopPoint:OCECar TER-87117523,StopPoint:OCECar TER-87117523,2,300,,
StopPoint:OCECar TER-87117564,StopPoint:OCECar TER-87117564,2,300,,
StopPoint:OCECar TER-87117572,StopPoint:OCECar TER-87117572,2,300,,
StopPoint:OCECar TER-87117598,StopPoint:OCECar TER-87117598,2,300,,
StopPoint:OCECar TER-87117606,StopPoint:OCECar TER-87117606,2,300,,
StopPoint:OCECar TER-87117689,StopPoint:OCECar TER-87117689,2,300,,
StopPoint:OCECar TER-87117697,StopPoint:OCECar TER-87117697,2,300,,
StopPoint:OCECar TER-87117903,StopPoint:OCECar TER-87117903,2,300,,
StopPoint:OCECar TER-87117911,StopPoint:OCECar TER-87117911,2,300,,
StopPoint:OCECar TER-87117929,StopPoint:OCECar TER-87117929,2,300,,
StopPoint:OCECar TER-87117937,StopPoint:OCECar TER-87117937,2,300,,
StopPoint:OCECar TER-87117952,StopPoint:OCECar TER-87117952,2,300,,
StopPoint:OCECar TER-87117960,StopPoint:OCECar TER-87117960,2,300,,
StopPoint:OCECar TER-87117978,StopPoint:OCECar TER-87117978,2,300,,
StopPoint:OCECar TER-87117994,StopPoint:OCECar TER-87117994,2,300,,
StopPoint:OCECar TER-87118000,StopPoint:OCECar TER-87118000,2,300,,
StopPoint:OCETrain TER-87118000,StopPoint:OCETrain TER-87118000,2,300,,
StopPoint:OCECar TER-87118067,StopPoint:OCECar TER-87118067,2,300,,
StopPoint:OCECar TER-87118075,StopPoint:OCECar TER-87118075,2,300,,
StopPoint:OCECar TER-87118083,StopPoint:OCECar TER-87118083,2,300,,
StopPoint:OCECar TER-87118091,StopPoint:OCECar TER-87118091,2,300,,
StopPoint:OCECar TER-87118117,StopPoint:OCECar TER-87118117,2,300,,
StopPoint:OCECar TER-87118133,StopPoint:OCECar TER-87118133,2,300,,
StopPoint:OCECar TER-87118141,StopPoint:OCECar TER-87118141,2,300,,
StopPoint:OCECar TER-87118158,StopPoint:OCECar TER-87118158,2,300,,
StopPoint:OCETrain TER-87118158,StopPoint:OCETrain TER-87118158,2,300,,
StopPoint:OCECar TER-87118182,StopPoint:OCECar TER-87118182,2,300,,
StopPoint:OCECar TER-87118190,StopPoint:OCECar TER-87118190,2,300,,
StopPoint:OCETrain TER-87118190,StopPoint:OCETrain TER-87118190,2,300,,
StopPoint:OCECar TER-87118257,StopPoint:OCECar TER-87118257,2,300,,
StopPoint:OCETrain TER-87118257,StopPoint:OCETrain TER-87118257,2,300,,
StopPoint:OCECar TER-87118299,StopPoint:OCECar TER-87118299,2,300,,
StopPoint:OCETrain TER-87118299,StopPoint:OCETrain TER-87118299,2,300,,
StopPoint:OCECar TER-87118414,StopPoint:OCECar TER-87118414,2,300,,
StopPoint:OCECar TER-87130823,StopPoint:OCECar TER-87130823,2,300,,
StopPoint:OCECar TER-87130831,StopPoint:OCECar TER-87130831,2,300,,
StopPoint:OCECar TER-87130880,StopPoint:OCECar TER-87130880,2,300,,
StopPoint:OCECar TER-87130898,StopPoint:OCECar TER-87130898,2,300,,
StopPoint:OCECar TER-87131961,StopPoint:OCECar TER-87131961,2,300,,
StopPoint:OCETrain TER-87131961,StopPoint:OCETrain TER-87131961,2,300,,
StopPoint:OCECar TER-87137158,StopPoint:OCECar TER-87137158,2,300,,
