stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
StopArea:OCE87613356,"Gare de Caussade (T.-et-G.)",,44.16230407,1.5334529,,,1,
StopArea:OCE87611244,"Gare de Montauban-Ville-Bourbon",,44.01463933,1.34197365,,,1,
StopArea:OCE87615039,"Gare de Castelnaudary",,43.31264552,1.95098936,,,1,
StopArea:OCE87615286,"Gare de Carcassonne",,43.2177147,2.35188313,,,1,
StopArea:OCE87615112,"Gare de Lézignan-Corbières",,43.19997074,2.76985676,,,1,
StopArea:OCE87781062,"Gare de Port-la-Nouvelle",,43.02086419,3.03880452,,,1,
StopArea:OCE87781088,"Gare de Leucate-la-Franqui",,42.93284181,3.01274698,,,1,
StopArea:OCE87784173,"Gare de Rivesaltes",,42.76615979,2.8678155,,,1,
StopArea:OCE87784207,"Gare de Elne",,42.59736926,2.96352068,,,1,
StopArea:OCE87784231,"Gare de Argelès-sur-Mer",,42.54395093,3.02150018,,,1,
StopArea:OCE87784256,"Gare de Collioure",,42.5268923,3.07872086,,,1,
StopArea:OCE87784264,"Gare de Port-Vendres",,42.51338125,3.10238579,,,1,
StopArea:OCE87784298,"Gare de Banyuls-sur-Mer",,42.48261944,3.12441085,,,1,
StopArea:OCE87785006,"Gare de Cerbère",,42.44276389,3.16552461,,,1,
StopArea:OCE71793150,"Gare de Port-Bou",,42.4244714,3.15784777,,,1,
StopArea:OCE87686667,"Gare de Paris-Bercy",,48.83921134,2.38279865,,,1,
StopArea:OCE87696005,"Gare de Nevers",,46.98734891,3.15086974,,,1,
StopArea:OCE87696260,"Gare de Saincaize",,46.9313729,3.07197126,,,1,
StopArea:OCE87696328,"Gare de Moulins-sur-Allier",,46.56136387,3.33875541,,,1,
StopArea:OCE87732206,"Gare de St-Germain-des-Fossés",,46.20910253,3.43048912,,,1,
StopArea:OCE87732008,"Gare de Vichy",,46.12697018,3.43048945,,,1,
StopArea:OCE87734053,"Gare de Riom-Châtel-Guyon",,45.88984232,3.1208132,,,1,
StopArea:OCE87734004,"Gare de Clermont-Ferrand",,45.77856939,3.10051901,,,1,
StopArea:OCE87686006,"Gare de Paris-Gare-de-Lyon",,48.84492163,2.37346237,,,1,
StopArea:OCE87576009,"Gare de Vierzon",,47.2265163,2.05982407,,,1,
StopArea:OCE87597062,"Gare de Issoudun",,46.94784857,1.98492117,,,1,
StopArea:OCE87597005,"Gare de Châteauroux",,46.80982271,1.6994568,,,1,
StopArea:OCE87597120,"Gare de Argenton-sur-Creuse",,46.5922252,1.5182305,,,1,
StopArea:OCE87592378,"Gare de La Souterraine",,46.23975002,1.49223439,,,1,
StopArea:OCE87592006,"Gare de Limoges-Bénédictins",,45.8362085,1.26745216,,,1,
StopArea:OCE87594200,"Gare de Uzerche",,45.44062082,1.57022797,,,1,
